주성분코드,제품코드
329900BIJ,cefoperazone sodium   0.5g
557400BIJ,cefoperazone sodium   1g
463100BIJ,cefoperazone sodium   0.5g(바이알)
360801BIJ,nafcillin sodium   1g
381300BIJ,amoxicillin sodium   1g
381500BIJ,amoxicillin sodium   0.5g
447701BIJ,ertapenem sodium (as ertapenem   1g)
495301BIJ,tigecycline   50mg
593201BIJ,doripenem monohydrate (as doripenem   0.25g)
800001BIJ,cefepime hydrochloride hydrate·L-arginine (as cefepime hydrochloride   1g)
134902BIJ,clarithromycin   0.5g
135630BIJ,clindamycin phosphate   0.3g(0.15g/mL)
135631BIJ,clindamycin phosphate   0.6g(0.15g/mL)
328500BIJ,ampicillin sodium   0.5g
328600BIJ,ampicillin sodium   1g
360930BIJ,arbekacin sulfate   75mg(50mg/mL)
360931BIJ,arbekacin sulfate   0.1g(50mg/mL)
433300BIJ,piperacillin sodium   1g
453200BIJ,piperacillin sodium   2g
657600BIJ,piperacillin sodium   3g
330000BIJ,sulfamethoxazole   0.4g(80mg/mL)
102934BIJ,acyclovir   0.25g(25mg/mL)
102905BIJ,acyclovir   0.5g
134133BIJ,ciprofloxacin   0.1g(2mg/mL)
134134BIJ,ciprofloxacin   0.2g(2mg/mL)
134135BIJ,ciprofloxacin   0.4g(2mg/mL)
159931BIJ,fluconazole   0.1g(2mg/mL)
164602BIJ,ganciclovir   0.5g
179130BIJ,itraconazole   0.25g(10mg/mL)
183233BIJ,levofloxacin   0.25g(5mg/mL)
183234BIJ,levofloxacin   0.5g(5mg/mL)
183235BIJ,levofloxacin   0.75g(5mg/mL)
183236BIJ,levofloxacin   1g(5mg/mL)
203940BIJ,ofloxacin   0.2g(2mg/mL)
380335BIJ,moxifloxacin hydrochloride (as moxifloxacin   0.4g(1.6mg/mL))
440001BIJ,caspofungin acetate (as caspofungin   50mg)
440002BIJ,caspofungin acetate (as caspofungin   70mg)
442902BIJ,gemifloxacin mesylate (as gemifloxacin   0.2g)
456501BIJ,voriconazole   0.2g
461401BIJ,enfuvirtide   0.108g
477501BIJ,palivizumab   50mg
477502BIJ,palivizumab   0.1g
497401BIJ,micafungin sodium   50mg
510501BIJ,anidulafungin   0.1g
801601BIJ,moxifloxacin   0.4g(1.6mg/mL)
483501BIJ,"free-dried rabies vaccine produced on VERO cell line, inactivated and purified(or whole-virus rabies antigen)   2.5I.U이상(5I.U/mL이상)"
474601BIJ,clostridium botulinum toxin type A   100U
474602BIJ,clostridium botulinum toxin type A haemagglutinin complex   500U
474603BIJ,clostridium botulinum toxin type A   200U
474605BIJ,clostridium botulinum toxin type A   150U
109501BIJ,antivenin agkistrodon halys   6KI.U
109201BIJ,anti-inhibitor coagulant complex   500I.U
109202BIJ,anti-inhibitor coagulant complex   1KI.U
109301BIJ,freeze-dried concentrated human antithrombin III   500I.U
169301BIJ,human tetanus immunoglobulin   250I.U(250I.U/mL)
169502BIJ,human blood coagulation factor VIII(monoclonal)   250I.U
169503BIJ,human blood coagulation factor VIII(monoclonal)   500I.U
169601BIJ,human blood coagulation factor Ⅸ complex   250I.U
169702BIJ,human blood coagulation factor VIII   250I.U
169703BIJ,human blood coagulation factor VIII   500I.U
169801BIJ,human fibrinogen(dried)   1g
169935BIJ,human immunoglobulin G   1g(0.1g/mL)
169936BIJ,human immunoglobulin G   2.5g(0.1g/mL)
169938BIJ,human immunoglobulin G   10g(0.1g/mL)
169939BIJ,human immunoglobulin G   20g(0.1g/mL)
169930BIJ,human immunoglobulin G(폴리에칠렌글리콜처리)   0.5g(50mg/mL)
169931BIJ,human immunoglobulin G(폴리에칠렌글리콜처리)   1g(50mg/mL)
169932BIJ,human immunoglobulin G(폴리에칠렌글리콜처리)   2.5g(50mg/mL)
169933BIJ,human immunoglobulin G(폴리에칠렌글리콜처리)   3g(50mg/mL)
173930BIJ,immunoglobulin anti-D(Rh)   600I.U(200I.U/mL)
173931BIJ,immunoglobulin anti-D(Rh)   1.5KI.U(500I.U/mL)
173932BIJ,immunoglobulin anti-D(Rh)   5KI.U(833.33I.U/mL)
174130BIJ,human varicella zoster immunoglobulin   125I.U(50I.U/mL)
227101BIJ,human serum albumin   10g(0.2g/mL)
227104BIJ,human serum albumin   20g(0.2g/mL)
227102BIJ,human serum albumin   5g(50mg/mL)
227103BIJ,human serum albumin   12.5g(50mg/mL)
363532BIJ,human anti-hepatitis B immunoglobulin(I.V.)   10KI.U(200I.U/mL)
363533BIJ,human anti-hepatitis B immunoglobulin(I.V.)   2KI.U(200I.U/mL)
472801BIJ,human blood coagulation factor VIII (as Von-Willebrand factor 125I.U)   250I.U
472802BIJ,human blood coagulation factor VIII (as Von-Willebrand factor 250I.U)   500I.U
472803BIJ,human blood coagulation factor VIII (as Von-Willebrand factor 500I.U)   1KI.U
634101BIJ,Human plasma fraction with a factor XIII   250I.U
635801BIJ,protein C concentrate (human) lyophilized powder   500I.U
482030BIJ,Purified Tuberculin   0.6μg(0.4μg/mL)
484130BIJ,rabies human immunoglobulin   300I.U(150I.U/mL)
175730BIJ,interferon β-1a   22μg(44μg/mL)
175731BIJ,interferon β-1a   30μg(60μg/mL)
175732BIJ,interferon β-1a   44μg(88μg/mL)
175733BIJ,interferon β-1a   0.132mg(88μg/mL)
175801BIJ,interferon β-1b   0.3mg
452602BIJ,peginterferon α-2a   0.135mg(0.27mg/mL)
452630BIJ,peginterferon α-2a(40kD)   0.18mg(0.36mg/mL)
588530BIJ,eculizumab   0.3g(10mg/mL)
622530BIJ,natalizumab   0.3g(20mg/mL)
654403BIJ,peginterferon β-1a   0.125mg(0.25mg/mL)
654404BIJ,peginterferon β-1a   0.157mg(63μg+94μg)
194131BIJ,metronidazole   0.5g(5mg/mL)
204930BIJ,ornidazole   0.5g(0.16667mg/mL)
249201BIJ,water for injection
249202BIJ,water for injection
156030BIJ,ethyl esters of the iodised fatty acids of poppyseed oil   12.8g(1.28g/mL)
176030BIJ,iobitridol   32.905g(0.6581g/mL)
176032BIJ,iobitridol   65.81g(0.6581g/mL)
176034BIJ,iobitridol   98.715g(0.6581g/mL)
176038BIJ,iobitridol   329.05g(0.6581g/mL)
176031BIJ,iobitridol   38.39g(0.7678g/mL)
176033BIJ,iobitridol   76.78g(0.7678g/mL)
176035BIJ,iobitridol   115.17g(0.7678g/mL)
176039BIJ,iobitridol   383.9g(0.7678g/mL)
176132BIJ,iodixanol   27.5g(0.55g/mL)
176134BIJ,iodixanol   55g(0.55g/mL)
176133BIJ,iodixanol   32.6g(0.652g/mL)
176135BIJ,iodixanol   65.2g(0.652g/mL)
176137BIJ,iodixanol   97.8g(0.652g/mL)
176139BIJ,iodixanol   130.4g(0.652g/mL)
176334BIJ,iohexol   15.54g(0.518g/mL)
176338BIJ,iohexol   25.9g(0.518g/mL)
176388BIJ,iohexol   67.34g(0.518g/mL)
176389BIJ,iohexol   51.8g(0.518g/mL)
176390BIJ,iohexol   44.03g(0.518g/mL)
176391BIJ,iohexol   64.75g(0.518g/mL)
176331BIJ,iohexol   6.47g(0.647g/mL)
176333BIJ,iohexol   12.94g(0.647g/mL)
176335BIJ,iohexol   19.41g(0.647g/mL)
176337BIJ,iohexol   25.88g(0.647g/mL)
176340BIJ,iohexol   32.35g(0.647g/mL)
176342BIJ,iohexol   64.7g(0.647g/mL)
176344BIJ,iohexol   84.11g(0.647g/mL)
176345BIJ,iohexol   97.05g(0.647g/mL)
176350BIJ,iohexol   323.5g(0.647g/mL)
176352BIJ,iohexol   647g(0.647g/mL)
176355BIJ,iohexol   129.4g(0.647g/mL)
176356BIJ,iohexol   54.995g(0.647g/mL)
176358BIJ,iohexol   77.64g(0.647g/mL)
176364BIJ,iohexol   80.875g(0.647g/mL)
176383BIJ,iohexol   61.465g(0.647g/mL)
176385BIJ,iohexol   87.345g(0.647g/mL)
176336BIJ,iohexol   22.65g(0.755g/mL)
176339BIJ,iohexol   30.2g(0.755g/mL)
176341BIJ,iohexol   37.75g(0.755g/mL)
176343BIJ,iohexol   75.5g(0.755g/mL)
176346BIJ,iohexol   98.15g(0.755g/mL)
176348BIJ,iohexol   113.25g(0.755g/mL)
176349BIJ,iohexol   151g(0.755g/mL)
176351BIJ,iohexol   377.5g(0.755g/mL)
176353BIJ,iohexol   755g(0.755g/mL)
176359BIJ,iohexol   64.175g(0.755g/mL)
176362BIJ,iohexol   90.6g(0.755g/mL)
176374BIJ,iohexol   94.375g(0.755g/mL)
176431BIJ,iomeprol   30.62g(0.6124g/mL)
176435BIJ,iomeprol   61.24g(0.6124g/mL)
176438BIJ,iomeprol   91.86g(0.6124g/mL)
176440BIJ,iomeprol   306.2g(0.6124g/mL)
176432BIJ,iomeprol   35.72g(0.7144g/mL)
176436BIJ,iomeprol   71.44g(0.7144g/mL)
176439BIJ,iomeprol   107.16g(0.7144g/mL)
176441BIJ,iomeprol   357.2g(0.7144g/mL)
176433BIJ,iomeprol   40.825g(0.8165g/mL)
176437BIJ,iomeprol   81.65g(0.8165g/mL)
176442BIJ,iomeprol   408.25g(0.8165g/mL)
176534BIJ,iopamidol   25.5g(0.51g/mL)
176538BIJ,iopamidol   51g(0.51g/mL)
176542BIJ,iopamidol   76.5g(0.51g/mL)
176517BIJ,iopamidol   612.4g(0.6124g/mL)
176530BIJ,iopamidol   6.124g(0.6124g/mL)
176531BIJ,iopamidol   18.372g(0.6124g/mL)
176535BIJ,iopamidol   30.62g(0.6124g/mL)
176537BIJ,iopamidol   45.93g(0.6124g/mL)
176540BIJ,iopamidol   61.24g(0.6124g/mL)
176543BIJ,iopamidol   76.55g(0.6124g/mL)
176544BIJ,iopamidol   91.86g(0.6124g/mL)
176547BIJ,iopamidol   122.48g(0.6124g/mL)
176550BIJ,iopamidol   306.2g(0.6124g/mL)
176554BIJ,iopamidol   79.612g(0.6124g/mL)
176532BIJ,iopamidol   22.659g(0.7553g/mL)
176536BIJ,iopamidol   37.765g(0.7553g/mL)
176539BIJ,iopamidol   56.6475g(0.7553g/mL)
176541BIJ,iopamidol   75.53g(0.7553g/mL)
176545BIJ,iopamidol   94.4125g(0.7553g/mL)
176546BIJ,iopamidol   113.295g(0.7553g/mL)
176548BIJ,iopamidol   151.06g(0.7553g/mL)
176551BIJ,iopamidol   377.65g(0.7553g/mL)
176732BIJ,iopromide   31.17g(0.6234g/mL)
176736BIJ,iopromide   62.34g(0.6234g/mL)
176738BIJ,iopromide   93.51g(0.6234g/mL)
176745BIJ,iopromide   311.7g(0.6234g/mL)
176750BIJ,iopromide   77.925g(0.6234g/mL)
176731BIJ,iopromide   23.0658g(0.76886g/mL)
176733BIJ,iopromide   38.443g(0.76886g/mL)
176737BIJ,iopromide   76.886g(0.76886g/mL)
176746BIJ,iopromide   384.43g(0.76886g/mL)
176935BIJ,ioversol   50.9g(0.509g/mL)
176946BIJ,ioversol   66.17g(0.509g/mL)
176930BIJ,ioversol   20.34g(0.678g/mL)
176933BIJ,ioversol   33.9g(0.678g/mL)
176936BIJ,ioversol   67.8g(0.678g/mL)
176938BIJ,ioversol   84.75g(0.678g/mL)
176942BIJ,ioversol   101.7g(0.678g/mL)
176944BIJ,ioversol   339g(0.678g/mL)
176947BIJ,ioversol   27.12g(0.678g/mL)
176956BIJ,ioversol   135.6g(0.678g/mL)
176973BIJ,ioversol   169.5g(0.678g/mL)
176931BIJ,ioversol   22.23g(0.741g/mL)
176934BIJ,ioversol   37.05g(0.741g/mL)
176937BIJ,ioversol   74.1g(0.741g/mL)
176940BIJ,ioversol   92.625g(0.741g/mL)
176941BIJ,ioversol   96.33g(0.741g/mL)
176943BIJ,ioversol   111.15g(0.741g/mL)
176945BIJ,ioversol   370.5g(0.741g/mL)
176960BIJ,ioversol   29.64g(0.741g/mL)
176969BIJ,ioversol   148.2g(0.741g/mL)
176974BIJ,ioversol   185.25g(0.741g/mL)
466430BIJ,meglumine gadoterate   3.769g(0.3769g/mL)
466431BIJ,meglumine gadoterate   5.6535g(0.3769g/mL)
466432BIJ,meglumine gadoterate   7.538g(0.3769g/mL)
466433BIJ,meglumine gadoterate   1.8845g(0.3769g/mL)
466830BIJ,gadobenate dimeglumine   5.29g(0.529g/mL)
466831BIJ,gadobenate dimeglumine   7.935g(0.529g/mL)
471630BIJ,gadobutrol   4.5354g(0.60472g/mL)
471631BIJ,gadobutrol   6.0472g(0.60472g/mL)
471632BIJ,gadobutrol   9.0708g(0.60472g/mL)
471633BIJ,gadobutrol   5.74484g(0.60472g/mL)
471634BIJ,gadobutrol   4.23304g(0.60472g/mL)
471635BIJ,gadobutrol   5.14012g(0.60472g/mL)
471636BIJ,gadobutrol   3.0236g(0.60472g/mL)
487301BIJ,"gadoxetic acid disodium (as gadolinium oxide   0.45312g(45.312mg/mL)), EOB-DTPA   1.32717g(0.132717g/mL)"
537000BIJ,ioxitalamic acid   50.68g(0.5068g/mL)
615131BIJ,gadoteridol   2.793g(0.2793g/mL)
615132BIJ,gadoteridol   4.1895g(0.2793g/mL)
615133BIJ,gadoteridol   4.7481g(0.2793g/mL)
615134BIJ,gadoteridol   5.586g(0.2793g/mL)
161130BIJ,fluorescein sodium (as fluorescein   0.5g(0.1g/mL))
161131BIJ,fluorescein sodium (as fluorescein   0.442g(88.4mg/mL))
174530BIJ,indigocarmine   40mg(8mg/mL)
167130BIJ,gonadorelin acetate (as gonadorelin   0.1mg(0.1mg/mL))
366530BIJ,tetracosactide   0.25mg(0.25mg/mL)
466501BIJ,indocyanine green   25mg
138201BIJ,corticorelin trifluoroacetate (as corticorelin   0.1mg)
230101BIJ,somatorelin acetate   66.7μg
197230BIJ,morphine hydrochloride   5mg(10mg/mL)
197231BIJ,morphine hydrochloride   10mg(10mg/mL)
197331BIJ,morphine sulfate   10mg(10mg/mL)
197335BIJ,morphine sulfate   20mg(10mg/mL)
197340BIJ,morphine sulfate   0.1g(10mg/mL)
197334BIJ,morphine sulfate   15mg(15mg/mL)
197336BIJ,morphine sulfate   30mg(15mg/mL)
197330BIJ,morphine sulfate   1mg(1mg/mL)
197332BIJ,morphine sulfate   5mg(1mg/mL)
197339BIJ,morphine sulfate   10mg(1mg/mL)
441130BIJ,hydromorphone hydrochloride   1mg(1mg/mL)
441131BIJ,hydromorphone hydrochloride   2mg(2mg/mL)
104730BIJ,alfentanil hydrochloride (as alfentanil   1mg(0.5mg/mL))
104731BIJ,alfentanil hydrochloride (as alfentanil   2.5mg(0.5mg/mL))
158330BIJ,fentanyl citrate (as fentanyl   50μg(50μg/mL))
158331BIJ,fentanyl citrate (as fentanyl   0.1mg(50μg/mL))
158332BIJ,fentanyl citrate (as fentanyl   0.5mg(50μg/mL))
158333BIJ,fentanyl citrate (as fentanyl   1mg(50μg/mL))
158334BIJ,fentanyl citrate (as fentanyl   1.5mg(50μg/mL))
211530BIJ,pethidine hydrochloride   25mg(50mg/mL)
211531BIJ,pethidine hydrochloride   50mg(50mg/mL)
232530BIJ,sufentanil citrate (as sufentanil   75μg(75μg/mL))
232531BIJ,sufentanil citrate (as sufentanil   0.375mg(75μg/mL))
359030BIJ,oxycodone hydrochloride (as oxycodone   9mg(9mg/mL))
359031BIJ,oxycodone hydrochloride (as oxycodone   18mg(9mg/mL))
457601BIJ,remifentanil hydrochloride (as remifentanil   1mg)
457602BIJ,remifentanil hydrochloride (as remifentanil   2mg)
457603BIJ,remifentanil hydrochloride (as remifentanil   5mg)
141330CLQ,desflurane   240mL(1mL/mL)
178030CLQ,isoflurane   100mL(1mL/mL)
227330CLQ,sevoflurane   250mL(1mL/mL)
572801CSI,Nitrous oxide   45L
224506CPC,rivastigmine   4.6mg for 24h
224507CPC,rivastigmine   9.5mg for 24h
224508CPC,rivastigmine   13.3mg for 24h
115330CLQ,benoxinate hydrochloride   0.3g(3mg/mL)
115331CLQ,benoxinate hydrochloride   1.5g(3mg/mL)
115332CLQ,benoxinate hydrochloride   30mg(3mg/mL)
183801CSI,lidocaine   0.1g
183805CCM,lidocaine   50mg
183934CLQ,lidocaine hydrochloride   0.3g(20mg/mL)
183937CLQ,lidocaine hydrochloride   2g(20mg/mL)
183938CLQ,lidocaine hydrochloride   10g(20mg/mL)
183902CCM,lidocaine hydrochloride   20mg
219630COS,proparacaine hydrochloride   4mg(5mg/mL)
219631COS,proparacaine hydrochloride   75mg(5mg/mL)
101701COS,acetylcholine chloride   20mg(10mg/mL)
102931COO,acyclovir   0.105g(30mg/g)
109130COO,anhydrous liquid lanolin   0.105g(30mg/g)
109630COS,apraclonidine hydrochloride (as apraclonidine   25mg(5mg/mL))
111833COS,atropine sulfate   0.15g(10mg/mL)
112532COS,azelastine hydrochloride   3mg(0.5mg/mL)
112534COS,azelastine hydrochloride   5mg(0.5mg/mL)
116830COS,betaxolol hydrochloride   14mg(2.8mg/mL)
116831COS,betaxolol hydrochloride   28mg(5.6mg/mL)
118432COS,brimonidine tartrate   7.5mg(1.5mg/mL)
118433COS,brimonidine tartrate   15mg(1.5mg/mL)
118434COS,brimonidine tartrate   0.45mg(1.5mg/mL)
124830COS,carteolol hydrochloride   25mg(10mg/mL)
124832COS,carteolol hydrochloride   50mg(20mg/mL)
124833COS,carteolol hydrochloride   0.1g(20mg/mL)
134132COS,ciprofloxacin hydrochloride (as ciprofloxacin   15mg(3mg/mL))
138931COS,cyclopentolate hydrochloride   50mg(10mg/mL)
138933COS,cyclopentolate hydrochloride   0.15g(10mg/mL)
141930COO,dexamethasone   3.5mg(1mg/g)
141931COS,dexamethasone   5mg(1mg/mL)
141906CIM,dexamethasone   0.7mg
142231COO,dexamethasone sodium phosphate   4.925mg(0.985mg/g)
143532COS,diclofenac sodium   5mg(1mg/mL)
143533COS,diclofenac sodium   6mg(1mg/mL)
148830COS,dorzolamide hydrochloride (as dorzolamide   0.1g(20mg/mL))
152530COS,epinastine hydrochloride   2.5mg(0.5mg/mL)
152531COS,epinastine hydrochloride   0.15mg(0.5mg/mL)
161232COS,fluorometholone   1mg(0.2mg/mL)
161234COS,fluorometholone   1.2mg(0.2mg/mL)
161209COS,fluorometholone   0.35mg(1mg/mL)
161230COS,fluorometholone   0.55mg(1mg/mL)
161231COS,fluorometholone   0.6mg(1mg/mL)
161237COS,fluorometholone   5mg(1mg/mL)
161238COS,fluorometholone   6mg(1mg/mL)
161241COS,fluorometholone   0.5mg(1mg/mL)
161242COS,fluorometholone   0.4mg(1mg/mL)
161243COS,fluorometholone   0.3mg(1mg/mL)
161244COS,fluorometholone   0.45mg(1mg/mL)
161245COS,fluorometholone   0.33mg(1mg/mL)
161246COS,fluorometholone   0.41mg(1mg/mL)
161330COS,fluorometholone acetate   5mg(1mg/mL)
162030COS,flurbiprofen sodium   0.75mg(0.3mg/mL)
164630COO,ganciclovir   7.5mg(1.5mg/g)
169130COS,homartropin hydrobromide   0.1g(20mg/mL)
180030COS,ketorolac tromethamine   1.8mg(4.5mg/mL)
180034COS,ketorolac tromethamine   22.5mg(4.5mg/mL)
180032COS,ketorolac tromethamine   25mg(5mg/mL)
180110COS,ketotifen fumarate (as ketotifen   0.15mg(0.5mg/mL))
180134COS,ketotifen fumarate (as ketotifen   0.4mg(0.5mg/mL))
180137COS,ketotifen fumarate (as ketotifen   2.5mg(0.5mg/mL))
180138COS,ketotifen fumarate (as ketotifen   3mg(0.5mg/mL))
180145COS,ketotifen fumarate (as ketotifen   0.2mg(0.5mg/mL))
180146COS,ketotifen fumarate (as ketotifen   0.175mg(0.5mg/mL))
180147COS,ketotifen fumarate (as ketotifen   0.225mg(0.5mg/mL))
181502COS,latanoprost   10μg(50μg/mL)
181531COS,latanoprost   0.125mg(50μg/mL)
181532COS,latanoprost   0.15mg(50μg/mL)
182830COS,levobunolol hydrochloride   25mg(5mg/mL)
183243COS,levofloxacin   75mg(15mg/mL)
183230COS,levofloxacin   25mg(5mg/mL)
183231COS,levofloxacin   30mg(5mg/mL)
183238COS,levofloxacin   2.5mg(5mg/mL)
183239COS,levofloxacin   2mg(5mg/mL)
183240COS,levofloxacin   1.75mg(5mg/mL)
183241COS,levofloxacin   1.5mg(5mg/mL)
183242COS,levofloxacin hydrate   2.25mg(5mg/mL)
198230COS,N-acetylaspartyl glutamate sodium   0.245g(49mg/mL)
198231COS,N-acetylaspartyl glutamate sodium   0.49g(49mg/mL)
202330COS,nipradilol   12.5mg(2.5mg/mL)
203934COO,ofloxacin   10.5mg(3mg/g)
203935COO,ofloxacin   15mg(3mg/g)
203912COS,ofloxacin   0.9mg(3mg/mL)
203930COS,ofloxacin   1.2mg(3mg/mL)
203936COS,ofloxacin   15mg(3mg/mL)
203937COS,ofloxacin   18mg(3mg/mL)
203941COS,ofloxacin   1.5mg(3mg/mL)
203942COS,ofloxacin   1.05mg(3mg/mL)
203943COS,ofloxacin   1.35mg(3mg/mL)
209630COS,pemirolast potassium   5mg(1mg/mL)
212331COS,pilocarpine hydrochloride   0.2g(20mg/mL)
212332COS,pilocarpine hydrochloride   0.3g(20mg/mL)
213630COS,pirenoxine   0.25mg(50μg/mL)
216134COS,povidone   0.2g(20mg/mL)
216135COS,povidone   0.3g(20mg/mL)
216530COS,pranoprofen   5mg(1mg/mL)
217131COS,prednisolone acetate   50mg(10mg/mL)
217132COS,prednisolone acetate   0.1g(10mg/mL)
217135COS,prednisolone acetate   4mg(10mg/mL)
228651COS,carboxymethyl cellulose sodium   4.5mg(10mg/mL)
228632COS,carboxymethyl cellulose sodium   2mg(5mg/mL)
228633COS,carboxymethyl cellulose sodium   2.5mg(5mg/mL)
228636COS,carboxymethyl cellulose sodium   4mg(5mg/mL)
228637COS,carboxymethyl cellulose sodium   4.4mg(5mg/mL)
228638COS,carboxymethyl cellulose sodium   4.5mg(5mg/mL)
228639COS,carboxymethyl cellulose sodium   4.75mg(5mg/mL)
228640COS,carboxymethyl cellulose sodium   5mg(5mg/mL)
228643COS,carboxymethyl cellulose sodium   75mg(5mg/mL)
228645COS,carboxymethyl cellulose sodium   50mg(5mg/mL)
228646COS,carboxymethyl cellulose sodium   1.5mg(5mg/mL)
228647COS,carboxymethyl cellulose sodium   1.75mg(5mg/mL)
228650COS,carboxymethyl cellulose sodium   2.25mg(5mg/mL)
228740COS,sodium chloride   20mg(20mg/mL)
228742COS,sodium chloride   0.75g(50mg/mL)
228834COS,sodium cromoglycate   0.1g(20mg/mL)
228835COS,sodium cromoglycate   0.12g(20mg/mL)
230033COO,solcoseryl 120 concentrated   0.35025g(70.05mg/g)
230030COS,solcoseryl 120 concentrated   28.02mg(70.05mg/mL)
230031COS,solcoseryl 120 concentrated   42.03mg(70.05mg/mL)
230034COS,solcoseryl 120 concentrated   0.35025g(70.05mg/mL)
230036COS,solcoseryl 120 concentrated   35.025mg(70.05mg/mL)
230037COS,solcoseryl 120 concentrated   31.5225mg(70.05mg/mL)
239632COS,timolol maleate (as timolol   6.25mg(2.5mg/mL))(1회/1일)
239634COS,timolol maleate (as timolol   12.5mg(5mg/mL))(1회/1일)
239636COS,timolol maleate (as timolol   25mg(5mg/mL))
242230COS,tosufloxacin tosylate hydrate   15mg(3mg/mL)
242630COS,tranilast   25mg(5mg/mL)
243340COS,triamcinolone acetonide   40mg(1mg/g)
244030COS,trifluridine   50mg(10mg/mL)
245332COS,tropicamide   0.15g(10mg/mL)
380331COS,moxifloxacin hydrochloride (as moxifloxacin   2mg(5mg/mL))
380333COS,moxifloxacin hydrochloride (as moxifloxacin   25mg(5mg/mL))
380334COS,moxifloxacin hydrochloride (as moxifloxacin   30mg(5mg/mL))
391600COS,sodium chondroitin sulfate   27.75mg(37mg/mL)
391730COS,olopatadine hydrochloride (as olopatadine   0.3mg(1mg/mL))
391731COS,olopatadine hydrochloride (as olopatadine   0.4mg(1mg/mL))
391736COS,olopatadine hydrochloride (as olopatadine   5mg(1mg/mL))
391737COS,olopatadine hydrochloride (as olopatadine   6mg(1mg/mL))
391740COS,olopatadine hydrochloride (as olopatadine   0.35mg(1mg/mL))
391732COS,olopatadine hydrochloride (as olopatadine   0.5mg(2mg/mL))
391733COS,olopatadine hydrochloride (as olopatadine   0.6mg(2mg/mL))
391738COS,olopatadine hydrochloride (as olopatadine   6mg(2mg/mL))
391743COS,olopatadine hydrochloride (as olopatadine   0.7mg(2mg/mL))
391742COS,olopatadine hydrochloride (as olopatadine   17.5mg(7mg/mL))
401630COS,polysorbate 80   8mg(10mg/mL)
401637COS,polysorbate 80   4mg(10mg/mL)
401638COS,polysorbate 80   5mg(10mg/mL)
417530COS,brinzolamide   50mg(10mg/mL)
434830COS,gatifloxacin hydrate (as gatifloxacin   15mg(3mg/mL))
442231COS,travoprost   75μg(30μg/mL)
442230COS,travoprost   0.1mg(40μg/mL)
453931COS,bepotastine besilate   75mg(15mg/mL)
457731COS,acitazanolast hydrate (as acitazanolast   5mg(1mg/mL))
461330COS,bimatoprost   0.3mg(0.1mg/mL)
461331COS,bimatoprost   0.9mg(0.3mg/mL)
475130COS,cyclosporin   0.2mg(0.5mg/mL)
475134COS,cyclosporine   0.25mg(0.5mg/mL)
475131COS,cyclosporin   0.3mg(1.0mg/mL)
509030COS,tafluprost   4.5μg(15μg/mL)
509031COS,tafluprost   37.5μg(15μg/mL)
515400COS,phenylephrine hydrochloride   4mg(5mg/mL)
539000COS,phenylephrine hydrochloride   50mg(5mg/mL)
520830COS,natamycin   0.75g(50mg/mL)
525400COS,fluorometholone   0.6mg(1mg/mL)
538800COS,fluorometholone   5mg(1mg/mL)
538900COS,fluorometholone   6mg(1mg/mL)
640500COS,fluorometholone   0.5mg(1mg/mL)
642200COS,fluorometholone   0.4mg(1mg/mL)
644000COS,fluorometholone   0.3mg(1mg/mL)
647200COS,fluorometholone   0.45mg(1mg/mL)
530011COS,sodium hyaluronate   1.35mg(1.5mg/mL)
530013COS,sodium hyaluronate   1.5mg(1.5mg/mL)
530025COS,sodium hyaluronate   9mg(1.5mg/mL)
530037COS,sodium hyaluronate   15mg(1.5mg/mL)
530054COS,sodium hyaluronate   7.5mg(1.5mg/mL)
530056COS,sodium hyaluronate   1.125mg(1.5mg/mL)
530057COS,sodium hyaluronate   0.45mg(1.5mg/mL)
530058COS,sodium hyaluronate   0.525mg(1.5mg/mL)
530059COS,sodium hyaluronate   0.675mg(1.5mg/mL)
530060COS,sodium hyaluronate   0.75mg(1.5mg/mL)
530061COS,sodium hyaluronate   0.585mg(1.5mg/mL)
530074COS,sodium hyaluronate   0.6mg(1.5mg/mL)
530079COS,sodium hyaluronate   0.9mg(1.5mg/mL)
530080COS,sodium hyaluronate   1.05mg(1.5mg/mL)
530084COS,sodium hyaluronate   1.2mg(1.5mg/mL)
530099COS,sodium hyaluronate   0.495mg(1.5mg/mL)
5300A1COS,sodium hyaluronate   1.32mg(1.5mg/mL)
530010COS,sodium hyaluronate   1.26mg(1.8mg/mL)
530012COS,sodium hyaluronate   1.44mg(1.8mg/mL)
530014COS,sodium hyaluronate   1.584mg(1.8mg/mL)
530015COS,sodium hyaluronate   1.8mg(1.8mg/mL)
530042COS,sodium hyaluronate   18mg(1.8mg/mL)
530048COS,sodium hyaluronate   0.9mg(1.8mg/mL)
530049COS,sodium hyaluronate   9mg(1.8mg/mL)
530050COS,sodium hyaluronate   1.62mg(1.8mg/mL)
530067COS,sodium hyaluronate   0.54mg(1.8mg/mL)
530068COS,sodium hyaluronate   0.72mg(1.8mg/mL)
530069COS,sodium hyaluronate   0.81mg(1.8mg/mL)
530070COS,sodium hyaluronate   0.702mg(1.8mg/mL)
530071COS,sodium hyaluronate   0.63mg(1.8mg/mL)
530098COS,sodium hyaluronate   1.08mg(1.8mg/mL)
5300A4COS,sodium hyaluronate   18mg(1.8mg/mL)
530001COS,sodium hyaluronate   0.4mg(1mg/mL)
530002COS,sodium hyaluronate   0.5mg(1mg/mL)
530003COS,sodium hyaluronate   0.6mg(1mg/mL)
530004COS,sodium hyaluronate   0.7mg(1mg/mL)
